[AgePredModel] load_data: start loading...
[AgePredModel] load_data: Done! Get 339123 for train and 18660 for test!
[AgePredModel] load_data: loading finished !
[AgePredModel] train_model: start training...
[train_model] best weight file found, try to load ...
[train_model] Weights Load Successfull!
Epoch 0/127
----------
0.2% 76800/339123 		 Gender Loss 0.5068 		 Age MAE 7.98 		 Acc 0.7700 		 ETA 1119s
0.2% 77200/339123 		 Gender Loss 0.5289 		 Age MAE 7.28 		 Acc 0.7625 		 ETA 1117s
0.2% 77600/339123 		 Gender Loss 0.4521 		 Age MAE 7.33 		 Acc 0.8275 		 ETA 1116s
0.2% 78000/339123 		 Gender Loss 0.4823 		 Age MAE 7.79 		 Acc 0.7975 		 ETA 1114s
0.2% 78400/339123 		 Gender Loss 0.4787 		 Age MAE 7.96 		 Acc 0.8100 		 ETA 1112s
0.2% 78800/339123 		 Gender Loss 0.4580 		 Age MAE 7.80 		 Acc 0.8100 		 ETA 1110s
0.2% 79200/339123 		 Gender Loss 0.5075 		 Age MAE 7.37 		 Acc 0.7950 		 ETA 1109s
0.2% 79600/339123 		 Gender Loss 0.5166 		 Age MAE 7.98 		 Acc 0.7825 		 ETA 1107s
0.2% 80000/339123 		 Gender Loss 0.5075 		 Age MAE 7.46 		 Acc 0.7825 		 ETA 1105s
0.2% 80400/339123 		 Gender Loss 0.4765 		 Age MAE 7.41 		 Acc 0.8175 		 ETA 1103s
0.2% 80800/339123 		 Gender Loss 0.4969 		 Age MAE 6.42 		 Acc 0.7875 		 ETA 1102s
0.2% 81200/339123 		 Gender Loss 0.4955 		 Age MAE 7.40 		 Acc 0.7850 		 ETA 1100s
0.2% 81600/339123 		 Gender Loss 0.4582 		 Age MAE 7.64 		 Acc 0.8150 		 ETA 1098s
0.2% 82000/339123 		 Gender Loss 0.4766 		 Age MAE 8.04 		 Acc 0.8175 		 ETA 1096s
0.2% 82400/339123 		 Gender Loss 0.4792 		 Age MAE 7.83 		 Acc 0.8025 		 ETA 1095s
0.2% 82800/339123 		 Gender Loss 0.4619 		 Age MAE 8.02 		 Acc 0.8300 		 ETA 1093s
0.2% 83200/339123 		 Gender Loss 0.5171 		 Age MAE 7.04 		 Acc 0.7700 		 ETA 1091s
0.2% 83600/339123 		 Gender Loss 0.4873 		 Age MAE 7.77 		 Acc 0.7900 		 ETA 1089s
0.2% 84000/339123 		 Gender Loss 0.5057 		 Age MAE 6.97 		 Acc 0.8000 		 ETA 1088s
0.2% 84400/339123 		 Gender Loss 0.4950 		 Age MAE 8.03 		 Acc 0.7950 		 ETA 1086s
0.3% 84800/339123 		 Gender Loss 0.5081 		 Age MAE 6.97 		 Acc 0.8050 		 ETA 1084s
0.3% 85200/339123 		 Gender Loss 0.5207 		 Age MAE 7.51 		 Acc 0.7475 		 ETA 1082s
0.3% 85600/339123 		 Gender Loss 0.5179 		 Age MAE 8.06 		 Acc 0.7800 		 ETA 1081s
0.3% 86000/339123 		 Gender Loss 0.5253 		 Age MAE 7.27 		 Acc 0.7750 		 ETA 1079s
0.3% 86400/339123 		 Gender Loss 0.4983 		 Age MAE 7.80 		 Acc 0.7875 		 ETA 1077s
0.3% 86800/339123 		 Gender Loss 0.5195 		 Age MAE 7.76 		 Acc 0.7650 		 ETA 1076s
0.3% 87200/339123 		 Gender Loss 0.4860 		 Age MAE 7.35 		 Acc 0.7975 		 ETA 1074s
0.3% 87600/339123 		 Gender Loss 0.4904 		 Age MAE 7.62 		 Acc 0.7825 		 ETA 1072s
0.3% 88000/339123 		 Gender Loss 0.4968 		 Age MAE 8.23 		 Acc 0.8025 		 ETA 1070s
0.3% 88400/339123 		 Gender Loss 0.4766 		 Age MAE 7.95 		 Acc 0.8100 		 ETA 1069s
0.3% 88800/339123 		 Gender Loss 0.4706 		 Age MAE 7.85 		 Acc 0.8250 		 ETA 1067s
0.3% 89200/339123 		 Gender Loss 0.5114 		 Age MAE 8.01 		 Acc 0.7925 		 ETA 1065s
